propertyid,price,township,neighborhood,censustract,community,zipcode,homeowner,white,black,asian,hispanic,college,medhinc,poverty,walls,rooms,beds,basement,basementfin,centralheat,otherheat,ac,fireplaces,attic,atticfin,fullbathrooms,halfbathrooms,garagesize,garageconstruction,garageattached,porch,squarefoot,age
811,295000,"13","1308",110300,"Jefferson Park",60630,0,.808758,.0087192,.1526836,.1749661,.2384769,67361,.076353,"Masonry",5,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"Full","Unfinished",1,0,2.5,"Wood frame","No","N/A",1196,58
812,218000,"25","2501",480100,"Calumet Heights",60617,0,.0054107,.9724545,.0103296,.0093458,.2437437,59330,.122122,"Masonry",7,3,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,2,0,1.5,"Wood frame","No","N/A",1900,54
813,740000,"14","1430",62600,"Lake View",60657,1,.8647799,.0143756,.0880503,.0826595,.6215979,103125,.085162,"Masonry",6,3,"Partial basement","Formal rec-room","Warm air","None","Yes",1,"Partial","Living area",2,1,0,"N/A",0,"N/A",1682,3
814,158000,"19","1927",700200,"Ashburn",60652,1,.4881223,.1413224,.3353004,.6958693,.0813008,58381,.195868,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1.5,"Wood frame","No","N/A",1077,49
815,145000,"25","2503",440700,"Chatham",60619,1,.0064725,.9825243,.0012945,.0045307,.1501832,43500,.267399,"Masonry",5,3,"Full basement","Formal rec-room","Steam","None","No",0,"Full","Unfinished",1,1,1.5,"Wood frame","No","Wood",1206,86
816,360900,"13","1308",110300,"Jefferson Park",60630,0,.808758,.0087192,.1526836,.1749661,.2384769,67361,.076353,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,0,2.5,"Wood frame","No","N/A",1224,55
817,667500,"14","1417",60100,"Lake View",60613,1,.8703776,.0299728,.0696769,.121448,.5480039,96094,.078286,"Wood frame",8,4,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,3,0,2,"Wood frame","No","N/A",1658,107
818,745000,"14","1416",31400,"Uptown",60613,1,.7895145,.0899029,.0951456,.0712621,.6271009,63750,.114709,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",1,"None",0,2,0,2,"Masonry","Yes","Wood",2396,18
819,117000,"26","2617",520300,"East Side",60617,0,.5275945,.0228479,.3934031,.8530973,.0551144,40703,.240152,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2.5,"Wood frame","No","N/A",1040,69
820,220000,"13","1324",210100,"Avondale",60618,0,.5973188,.0263158,.3120655,.5434459,.1921691,62545,.133317,"Wood frame",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",939,78
821,292000,"13","1330",180100,"Montclare",60634,1,.7118258,.0204678,.2300195,.4337232,.1402945,44760,.141987,"Wood frame",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,1,2,"Wood frame","No","N/A",1671,73
822,365000,"13","1319",171000,"Dunning",60634,0,.8211884,.0111157,.1380541,.2431728,.1741742,58100,.079195,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","Yes",0,"Partial","Unfinished",1,0,1.5,"Wood frame","No","N/A",930,55
823,350000,"25","2507",720200,"Beverly",60643,0,.3976594,.558516,.0134462,.0413347,.2850174,69701,.140534,"Masonry",6,4,"Full basement","Unfinished","Steam","None","No",1,"Partial","Unfinished",2,1,1.5,"Masonry","No","N/A",1960,82
824,649900,"13","1336",222600,"Logan Square",60647,0,.5655431,.1242197,.2397004,.5012484,.2333643,36228,.203033,"Wood frame",9,4,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,3,1,0,"N/A",0,"N/A",1824,1
825,298000,"13","1323",160800,"Irving Park",60618,0,.5586635,.0343823,.3471251,.5775058,.207918,48785,.1107,"Masonry",9,4,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,3,0,2,"Masonry","Yes","N/A",1639,3
826,210000,"13","1330",180100,"Montclare",60634,0,.7118258,.0204678,.2300195,.4337232,.1402945,44760,.141987,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1236,54
827,230000,"13","1302",130100,"North Park",60659,1,.6610169,.0099357,.2924216,.0685759,.3437809,44654,.084059,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,2.5,"Masonry","No","N/A",1276,59
828,550000,"14","1420",62300,"Lake View",60657,1,.9180436,.0204891,.042961,.053536,.6994605,105438,.118692,"Wood frame",7,3,"Partial basement","Formal rec-room","Warm air","None","Yes",1,"None",0,2,1,1.5,"Wood frame","Yes","N/A",1960,12
829,364000,"13","1304",120200,"Forest Glen",60646,1,.872009,.0049661,.0957111,.0799097,.3835964,89773,.024191,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",1,"None",0,1,0,2,"Wood frame","No","N/A",1244,57
830,600000,"13","1322",161300,"Irving Park",60641,1,.6410007,.0337624,.2778722,.5761477,.1248552,36514,.13644,"Wood frame",8,4,"Full basement","Formal rec-room","Warm air","None","Yes",1,"None",0,3,0,2,"Wood frame","No","N/A",2648,2
831,167500,"12","1224",170700,"Dunning",60634,1,.8755034,.0043624,.092953,.1758389,.1559961,55691,.142021,"Wood frame",6,2,"Partial basement","Unfinished","Steam","None","No",0,"Partial","Unfinished",1,0,1.5,"Wood frame","No","N/A",940,68
832,870000,"17","1707",243000,"West Town",60612,0,.7209619,.034029,.2127949,.3516334,.3699978,66755,.165756,"Masonry",8,4,"Full basement","Unfinished","Warm air","None","Yes",2,"None",0,3,1,0,"N/A",0,"N/A",2602,5
